,tags_overall,f1-score,precision,recall,support,model_name,model_type
90,NND,0.2720763723150358,0.3725490196078432,0.21428571428571427,266.0,crf-baseline-fold04-seed06.joblib,crf-baseline
91,NNP,0.9167018432531308,0.9063717306622148,0.9272701394819244,7026.0,crf-baseline-fold04-seed06.joblib,crf-baseline
92,OD,0.6201550387596899,0.8,0.5063291139240507,158.0,crf-baseline-fold04-seed06.joblib,crf-baseline
93,PR,0.5,0.5594563986409966,0.4519670631290028,1093.0,crf-baseline-fold04-seed06.joblib,crf-baseline
94,PRP,0.7575554063129617,0.7741935483870968,0.7416173570019724,1521.0,crf-baseline-fold04-seed06.joblib,crf-baseline
95,RB,0.3736677115987461,0.5129087779690189,0.2938856015779093,1014.0,crf-baseline-fold04-seed06.joblib,crf-baseline
96,RP,0.25,0.8,0.14814814814814814,27.0,crf-baseline-fold04-seed06.joblib,crf-baseline
97,SC,0.4560296846011132,0.458069325382035,0.4540081270779461,2707.0,crf-baseline-fold04-seed06.joblib,crf-baseline
98,SYM,0.8859857482185274,0.9031476997578692,0.8694638694638694,429.0,crf-baseline-fold04-seed06.joblib,crf-baseline
99,UH,0.0,0.0,0.0,6.0,crf-baseline-fold04-seed06.joblib,crf-baseline
100,VB,0.6807451542348593,0.6558639732597006,0.7075885857635622,6378.0,crf-baseline-fold04-seed06.joblib,crf-baseline
101,WH,0.2258064516129032,0.5384615384615384,0.14285714285714285,49.0,crf-baseline-fold04-seed06.joblib,crf-baseline
102,X,0.06451612903225806,0.2,0.038461538461538464,78.0,crf-baseline-fold04-seed06.joblib,crf-baseline
103,Z,0.9912156418248796,0.9857223370279916,0.9967705167173252,5264.0,crf-baseline-fold04-seed06.joblib,crf-baseline
104,fw,0.0,0.0,0.0,0.0,crf-baseline-fold04-seed06.joblib,crf-baseline
105,macro avg,0.4887296521318002,0.5757096826370173,0.4538368054255055,51491.0,crf-baseline-fold04-seed06.joblib,crf-baseline
106,micro avg,0.7247868559554098,0.7247868559554097,0.7247868559554097,51491.0,crf-baseline-fold04-seed06.joblib,crf-baseline
107,weighted avg,0.7165199734451908,0.7164782586110489,0.7247868559554097,51491.0,crf-baseline-fold04-seed06.joblib,crf-baseline
108,CC,0.9736242266362748,0.9842001316655694,0.9632731958762888,1552.0,crf-with-prefix-fold01-seed42.joblib,crf-with-prefix
109,CD,0.9781306588661376,0.9785395763656634,0.9777220829852408,3591.0,crf-with-prefix-fold01-seed42.joblib,crf-with-prefix
110,DT,0.9210526315789472,0.875,0.9722222222222222,72.0,crf-with-prefix-fold01-seed42.joblib,crf-with-prefix
111,FW,0.7956469165659008,0.8915989159891599,0.7183406113537117,458.0,crf-with-prefix-fold01-seed42.joblib,crf-with-prefix
112,IN,0.9423662726940416,0.9406470445147166,0.944091796875,4096.0,crf-with-prefix-fold01-seed42.joblib,crf-with-prefix
113,JJ,0.8669064748201438,0.8786458333333333,0.8554766734279919,1972.0,crf-with-prefix-fold01-seed42.joblib,crf-with-prefix
114,MD,0.9824394874228759,0.9829059829059827,0.9819734345351044,1054.0,crf-with-prefix-fold01-seed42.joblib,crf-with-prefix
115,NEG,0.9843478260869564,0.9826388888888888,0.9860627177700348,287.0,crf-with-prefix-fold01-seed42.joblib,crf-with-prefix
116,NN,0.9490649109342812,0.9442970822281168,0.95388113023709,12316.0,crf-with-prefix-fold01-seed42.joblib,crf-with-prefix
117,NND,0.9032258064516128,0.9294605809128632,0.8784313725490196,255.0,crf-with-prefix-fold01-seed42.joblib,crf-with-prefix
118,NNP,0.9526644834772254,0.9446494464944648,0.9608166941900615,6661.0,crf-with-prefix-fold01-seed42.joblib,crf-with-prefix
119,OD,0.7698113207547169,0.796875,0.7445255474452555,137.0,crf-with-prefix-fold01-seed42.joblib,crf-with-prefix
120,PR,0.9874664279319606,0.9821905609973286,0.9927992799279928,1111.0,crf-with-prefix-fold01-seed42.joblib,crf-with-prefix
121,PRP,0.9861424427972928,0.9845559845559846,0.9877340219496448,1549.0,crf-with-prefix-fold01-seed42.joblib,crf-with-prefix
122,RB,0.9069649211997968,0.9291666666666668,0.8857994041708044,1007.0,crf-with-prefix-fold01-seed42.joblib,crf-with-prefix
123,RP,0.9655172413793104,1.0,0.9333333333333332,30.0,crf-with-prefix-fold01-seed42.joblib,crf-with-prefix
124,SC,0.9371274754854836,0.9373076923076924,0.9369473279507882,2601.0,crf-with-prefix-fold01-seed42.joblib,crf-with-prefix
